artistName,collectionName,artworkUrl100,releaseDate,trackCount,primaryGenreName,artworkUrl
Taylor Swift,willow (dancing witch version (Elvira remix)) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/b7/3f/21/b73f2168-e79d-5f9e-8afd-3f12d689f3d1/20UM1IM16043.rgb.jpg/100x100bb.jpg,2020-12-13,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/b7/3f/21/b73f2168-e79d-5f9e-8afd-3f12d689f3d1/20UM1IM16043.rgb.jpg/600x600bb.jpg
Taylor Swift,evermore,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/82/33/6e/82336ed3-3d1b-e920-b0a7-61775acd0f33/20UM1IM14847.rgb.jpg/100x100bb.jpg,2020-12-11,16,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/82/33/6e/82336ed3-3d1b-e920-b0a7-61775acd0f33/20UM1IM14847.rgb.jpg/600x600bb.jpg
Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/dd/6a/2f/dd6a2fec-2476-b44a-f2cc-8a2736143d8c/20UM1IM08851.rgb.jpg/100x100bb.jpg,2020-11-25,34,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/dd/6a/2f/dd6a2fec-2476-b44a-f2cc-8a2736143d8c/20UM1IM08851.rgb.jpg/600x600bb.jpg
Taylor Swift,betty (Live from the 2020 Academy of Country Music Awards) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/76/36/c6/7636c614-6bac-f4e4-93dd-b13bfd93f05b/20UMGIM81274.rgb.jpg/100x100bb.jpg,2020-09-18,1,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/76/36/c6/7636c614-6bac-f4e4-93dd-b13bfd93f05b/20UMGIM81274.rgb.jpg/600x600bb.jpg
Taylor Swift,folklore (deluxe version),https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/8c/ef/c2/8cefc23a-61b7-05ff-b52a-bb1e4922087c/20UMGIM64216.rgb.jpg/100x100bb.jpg,2020-08-18,17,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/8c/ef/c2/8cefc23a-61b7-05ff-b52a-bb1e4922087c/20UMGIM64216.rgb.jpg/600x600bb.jpg
Taylor Swift,cardigan (cabin in candlelight version) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d5/74/26/d57426e8-e291-ac08-901b-b84726287f1f/20UMGIM66263.rgb.jpg/100x100bb.jpg,2020-07-30,1,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d5/74/26/d57426e8-e291-ac08-901b-b84726287f1f/20UMGIM66263.rgb.jpg/600x600bb.jpg
Taylor Swift,folklore,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/7c/04/ba/7c04ba17-2ff8-21b3-0ac0-7d141f86e924/20UMGIM64216.rgb.jpg/100x100bb.jpg,2020-07-24,16,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/7c/04/ba/7c04ba17-2ff8-21b3-0ac0-7d141f86e924/20UMGIM64216.rgb.jpg/600x600bb.jpg
Taylor Swift,Cornelia Street (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/81/32/b0/8132b068-3866-006d-1793-b67473e43a04/20UMGIM36104.rgb.jpg/100x100bb.jpg,2020-05-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/81/32/b0/8132b068-3866-006d-1793-b67473e43a04/20UMGIM36104.rgb.jpg/600x600bb.jpg
Taylor Swift,Death By A Thousand Cuts (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f3/e6/f9/f3e6f9e1-f987-7fdd-1e43-46a01800a8fe/20UMGIM36103.rgb.jpg/100x100bb.jpg,2020-05-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f3/e6/f9/f3e6f9e1-f987-7fdd-1e43-46a01800a8fe/20UMGIM36103.rgb.jpg/600x600bb.jpg
Taylor Swift,Daylight (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/f4/04/ec/f404ec23-7d5a-4438-1d6d-9b0364d0a5fb/20UMGIM36106.rgb.jpg/100x100bb.jpg,2020-05-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/f4/04/ec/f404ec23-7d5a-4438-1d6d-9b0364d0a5fb/20UMGIM36106.rgb.jpg/600x600bb.jpg
Taylor Swift,The Archer (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/ef/08/7e/ef087e26-ce7c-d6f6-1600-c754010308d3/20UMGIM36100.rgb.jpg/100x100bb.jpg,2020-05-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/ef/08/7e/ef087e26-ce7c-d6f6-1600-c754010308d3/20UMGIM36100.rgb.jpg/600x600bb.jpg
Taylor Swift,Lover (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/e0/97/cd/e097cdb3-6129-4ad4-b212-363b2e70dc11/20UMGIM36105.rgb.jpg/100x100bb.jpg,2020-05-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/e0/97/cd/e097cdb3-6129-4ad4-b212-363b2e70dc11/20UMGIM36105.rgb.jpg/600x600bb.jpg
Taylor Swift,You Need To Calm Down (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/21/54/36/2154368d-a452-cc83-d862-9956ddd1b9cc/20UMGIM36102.rgb.jpg/100x100bb.jpg,2020-05-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/21/54/36/2154368d-a452-cc83-d862-9956ddd1b9cc/20UMGIM36102.rgb.jpg/600x600bb.jpg
Taylor Swift,ME! (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/00/f8/0c/00f80c2c-2770-2f5d-1f3e-cbc41b24b21c/20UMGIM36101.rgb.jpg/100x100bb.jpg,2020-05-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/00/f8/0c/00f80c2c-2770-2f5d-1f3e-cbc41b24b21c/20UMGIM36101.rgb.jpg/600x600bb.jpg
Taylor Swift,The Man (Live From Paris) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/16/40/c0/1640c01e-3763-3638-6ad9-984eab741580/20UMGIM11059.rgb.jpg/100x100bb.jpg,2020-02-18,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/16/40/c0/1640c01e-3763-3638-6ad9-984eab741580/20UMGIM11059.rgb.jpg/600x600bb.jpg
Taylor Swift,Only The Young (Featured in Miss Americana) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/b7/e6/8a/b7e68a1a-6beb-6187-3cdc-ecd3dbf0257e/20UMGIM04837.rgb.jpg/100x100bb.jpg,2020-01-31,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/b7/e6/8a/b7e68a1a-6beb-6187-3cdc-ecd3dbf0257e/20UMGIM04837.rgb.jpg/600x600bb.jpg
Taylor Swift,Christmas Tree Farm - Single,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ca/55/5a/ca555a0e-c360-26e6-437d-098b0089482a/19UM1IM09492.rgb.jpg/100x100bb.jpg,2019-12-06,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ca/55/5a/ca555a0e-c360-26e6-437d-098b0089482a/19UM1IM09492.rgb.jpg/600x600bb.jpg
Taylor Swift,Lover (First Dance Remix) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f1/9f/57/f19f57b8-cdad-9c09-abfd-0d8c5ff50943/19UM1IM06850.rgb.jpg/100x100bb.jpg,2019-11-26,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f1/9f/57/f19f57b8-cdad-9c09-abfd-0d8c5ff50943/19UM1IM06850.rgb.jpg/600x600bb.jpg
Taylor Swift,Lover (Remix) [feat. Shawn Mendes] - Single,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/66/80/16/6680164a-5dd7-1da5-d1d0-63763fb2e4b2/19UM1IM02940.rgb.jpg/100x100bb.jpg,2019-11-13,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/66/80/16/6680164a-5dd7-1da5-d1d0-63763fb2e4b2/19UM1IM02940.rgb.jpg/600x600bb.jpg
Taylor Swift,Lover,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/49/3d/ab/493dab54-f920-9043-6181-80993b8116c9/19UMGIM53909.rgb.jpg/100x100bb.jpg,2019-08-23,18,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/49/3d/ab/493dab54-f920-9043-6181-80993b8116c9/19UMGIM53909.rgb.jpg/600x600bb.jpg
Taylor Swift,You Need To Calm Down (Clean Bandit Remix) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/17/dd/dc/17dddc23-16fd-2986-cd94-5ba05fac13a2/19UMGIM75357.rgb.jpg/100x100bb.jpg,2019-08-20,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/17/dd/dc/17dddc23-16fd-2986-cd94-5ba05fac13a2/19UMGIM75357.rgb.jpg/600x600bb.jpg
Taylor Swift,Taylor Swift Karaoke: reputation,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/77/64/85/77648585-afe7-7036-c506-88dcd8f344b8/00843930034963.rgb.jpg/100x100bb.jpg,2018-03-09,15,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/77/64/85/77648585-afe7-7036-c506-88dcd8f344b8/00843930034963.rgb.jpg/600x600bb.jpg
